State / Union Territory,Year,Rice,Wheat,Coarse cereals,Pulses,Food- grains,Oilseeds,Cotton (Lint),Sugar- cane,Raw Jute & Mesta
,2021-22,-,-,-,-,-,-,-,-,-
17. Meghalaya,2002-03,190.9,4.7,28.2,3.3,227.1,6.5,7.8,0.2,56.4
,2003-04,200.7,1.5,28.1,3.5,233.8,6.4,7.8,0.2,56.2
,2004-05,193.7,1.6,26.3,3.6,225.2,6.5,7.8,0.2,39.2
,2005-06,151.9,1.2,26.4,3.6,183.1,6.7,7.8,0.2,55.7
,2006-07,200.2,1.2,27.2,2.9,231.5,6.6,7.7,0.2,55.1
,2007-08,200,1.1,27.4,3.3,231.8,6.7,6.5,0.3,54.9
,2008-09,203.9,0.7,27.8,3.9,236.3,7.1,5.6,0.3,54.6
,2009-10,206.7,0.7,28.2,3.6,239.2,7,5.5,0.2,53.1
,2010-11,207,0.7,27.6,3.7,239,7.1,-,0.2,52.6
,2011-12,216.5,0.6,28.3,3.7,249.1,7.6,-,0.2,50.4
,2012-13,232,0.7,28.7,3.7,265,6.9,-,0.2,53.2
,2013-14,273.9,0.8,42.1,3.2,320,14.1,-,0.3,89.9
,2014-15,298.2,0.8,43.4,11.3,353.8,14.9,-,0.3,92.5
,2015-16,301.1,0.9,44,11.7,357.7,15.2,-,0.4,94.5
,2016-17,203,0.9,44.4,11.8,260.1,15,-,0.4,94.7
,2017-18,304.6,0.9,44.4,11.9,361.8,15.1,-,0.4,94.8
,2018-19,202,0.9,44.4,13.4,260.7,15.1,-,0.4,94.9
,2019-20,303.4,0.9,44.5,12,360.8,15.1,-,0.4,95
,2020-21,295.8,0.9,44.5,12,353.3,15.2,8.6,0.4,95
,2021-22,-,-,-,-,-,-,-,-,-
18. Mizoram,2002-03,109.2,-,14.9,5,129.1,5.1,1,7.4,-
,2003-04,114.6,-,20.3,4.5,139.4,5.4,1.3,3.6,-
,2004-05,104.1,-,15.7,4.8,124.6,5.6,1.3,5.7,-
,2005-06,99.2,-,22.7,7.9,129.8,5.4,0.2,4.6,-
,2006-07,29.5,-,21,5.8,56.3,3.8,5.2,4.6,-
,2007-08,15.7,-,0.7,2.7,19.1,0.8,0.6,0.8,-
,2008-09,46,-,9.3,3.6,58.9,2.5,0.1,13.7,-
,2009-10,44.3,-,11.5,6.5,62.3,3,0.8,12.4,-
,2010-11,47.2,-,13.6,6.1,66.9,3.8,-,7.9,-
,2011-12,54.3,-,8.4,5.3,68,2.4,-,7.5,-
,2012-13,30.5,-,8,3.3,41.8,2.2,-,6.8,-
,2013-14,59,-,8.2,5.7,72.8,2.4,-,7,-
,2014-15,60.7,-,8.6,6,75.3,2.4,-,44.3,-
,2015-16,62.1,-,10.3,5,77.4,3,-,51.3,-
,2016-17,61.5,-,8.9,4.8,75.2,2.5,-,50.5,-
,2017-18,59.6,-,9.5,5.1,74.2,2.4,-,44.8,-
,2018-19,60,-,11,5.9,76.9,2.8,-,44.3,-
,2019-20,60,-,11,5.5,76.5,2.8,-,44.3,-
,2020-21,62.2,-,12.6,5.9,80.7,2.9,0,43,-
,2021-22,-,-,-,-,-,-,-,-,-
19. Nagaland,2002-03,225,17,118,28,388,74,5,80,5.5
,2003-04,248,20,108.3,33.5,409.8,66.8,0.2,130,6.1
,2004-05,259.8,13,105.5,25.2,403.5,81.9,0.2,142.1,6.7
,2005-06,263.1,1.9,120.1,39.7,424.8,62.8,1.7,210.9,10.5
,2006-07,263.5,1.3,126.4,45,436.2,62.6,0.2,233.9,5.9
,2007-08,290.6,1.6,139.4,41.6,473.2,68.1,0.3,247.3,6.4
,2008-09,345.1,2.1,127.3,39.7,514.2,71.5,0.1,185.8,1.3
,2009-10,240.3,2.4,76.8,34.7,354.2,84.6,-,152.9,2
,2010-11,381.4,5.3,145.2,36.4,568.3,66.3,-,184.9,8.4
,2011-12,382.4,5.4,144,34.7,566.5,66.8,-,186.7,8.5
,2012-13,405.2,5.9,145.9,43.6,600.6,67.5,-,187.6,7.7
,2013-14,429.6,5.5,147,42.5,624.6,67.9,-,188.5,7.8
,2014-15,454.2,5.6,147.5,42.4,649.6,68.1,-,189.3,7.8
,2015-16,318.8,6,148,43.1,515.8,68.6,-,190.2,7.9
,2016-17,336.7,6.2,149.5,44.5,536.9,68.9,-,192.4,7.9
,2017-18,349.6,6.3,150.3,46.1,552.3,69.2,-,192.7,44.3
,2018-19,356.7,6.3,148.8,46.4,558.1,69.5,-,193.2,44.5
,2019-20,363.3,6.3,149,46.8,565.4,70.8,-,193.6,44.6
,2020-21,367.4,6.3,149.4,47.1,570.2,70.2,0,203,38.1
,2021-22,-,-,-,-,-,-,-,-,-
20. Odisha,2002-03,3276.7,5.8,96.8,194.4,3573.7,93.7,49.9,753.2,148.1
,2003-04,6733.7,7.5,143,272.7,7156.9,156.9,88.2,858.1,127.3
,2004-05,6466,5,169.1,249.6,6889.7,179.5,111.2,859.9,145.9
,2005-06,6859,4.5,159.9,336.3,7359.7,187.7,144.8,1073,141.5
,2006-07,6824.7,5.8,162.4,351.8,7344.7,175.1,107.9,1274.4,132.4
,2007-08,7540.7,8.7,210.4,383.5,8143.3,196.6,124.7,1096.2,151.1
,2008-09,6812.7,7.4,191.7,387.3,7399.1,180.3,146.6,646.2,114.7
,2009-10,6917.5,5.8,230.3,399.3,7552.9,172.2,147.2,489.9,112
,2010-11,6827.7,4.2,360.5,426.9,7619.3,179.8,250,902.7,113.5
,2011-12,5807,2.4,259.4,343.4,6412.3,165.8,325,884.7,101.2
,2012-13,7295.5,2,287,424.4,8008.8,170.3,400,952.4,83.8
,2013-14,7613.4,1.1,325.7,419.3,8359.4,168.8,299,936.5,82.3
,2014-15,8298.2,0.7,242.3,440.3,8980.5,141.5,400,722.9,68.4
,2015-16,5875.4,0.5,157.2,375.1,6408.2,120.1,300,577.2,56.8
,2016-17,8325.9,0.1,256.2,479.1,9061.3,121.2,382,344.3,32.8
,2017-18,6551.3,0.2,170.2,429.6,7151.3,93.1,408,240.1,44.2
,2018-19,7733.7,0.3,169.1,412.1,8315.2,91.1,455,417.8,32.4
,2019-20,8360.4,0.2,237.1,432.5,9030.1,99.5,579,505,25.2
,2020-21,8810.3,0.3,281.8,431.2,9523.6,135.1,551,381.3,28.9
,2021-22,9136,0.3,351.7,462.9,9950.8,146.5,626.4,397.6,67.3
21. Punjab,2002-03,8880,14175,402.3,33.9,23491.2,90.9,1083,9290,-
,2003-04,9656,14489,545,39.4,24729.4,103.8,1478,6620,-
,2004-05,10437,14698,504,31.7,25670.7,100.4,2087,5170,-
,2005-06,10193,14493,472,26.2,25184.2,89.6,2395,4860,-
,2006-07,10138,14596,552,27.1,25313.1,78.2,2678,6020,-
,2007-08,10489,15720,583.1,23,26815.1,76.5,2355,6690,-
,2008-09,11000,15733,575.1,21.7,27329.8,76.2,2285,4670,-
,2009-10,11236,15169,527.1,18,26950.1,83.4,2006,3700,-
,2010-11,10837,16472,538,19.3,27866.3,71.5,2100,4170,-
,2011-12,10542,17280.1,552,15,28389.1,68,2300,5653,-
,2012-13,11374,16591,525,53,28543,69.4,2000,5919,-
,2013-14,11267,17620,553.8,39.6,29480.4,64.2,1968,6675,-
,2014-15,11107,15050,499.4,41.6,26698,57.7,1600,7039,-
,2015-16,11823,16077,457.3,43.5,28400.8,56.8,750,6607,-
,2016-17,11586.2,16440.5,477.2,33,28536.9,57.8,1031,7152,-
,2017-18,13381.8,17830.4,453.2,26.5,31691.9,59.5,1283,8023.7,-
,2018-19,12821.6,18261.8,421.3,27.7,31532.3,59.5,1222,7773.7,-
,2019-20,11779.3,17615.6,433.3,29.2,29857.3,58.4,1206,7302,-
,2020-21,12783.6,17186,417.6,31.1,30418.3,58.8,1022.7,7487,-
,2021-22,12885.5,14821.9,431.5,73.2,28212.1,88.2,646.7,7146.6,-
22. Rajasthan,2002-03,67.9,4878,2105.6,484.5,7536,1754.6,252.4,421.7,-
,2003-04,164.8,5875.8,9674.8,2278.4,17993.8,3996.8,709,309.4,-
,2004-05,150.4,5706.6,4956.4,1337.4,12150.8,5541.1,764.6,276.6,-
,2005-06,153,5865.3,4528.6,898.1,11445,5964,880.5,482.6,-
,2006-07,169.8,7055.8,5501.9,1481.3,14208.8,5166.8,746.8,629.7,-
,2007-08,259.6,7124.9,7121.4,1552.8,16058.7,4197.6,862.2,593.8,-
,2008-09,241.1,7287,7325.7,1826.4,16680.2,5178.4,725.7,388.2,-
,2009-10,228.3,7500.9,3907.2,713.7,12350.1,4407.2,903.1,344.5,-
,2010-11,265.5,7214.5,8092.5,3259.7,18832.2,6604.8,900,367.9,-
,2011-12,253.4,9319.6,7464.7,2432.1,19469.7,5744.5,1335,451.3,-
,2012-13,222.5,9275.5,6912.9,1956.8,18367.7,6364.6,1400,401.8,-
,2013-14,312.6,8663.2,6432.9,2490.9,17899.6,6033.8,1287,362.9,-
,2014-15,366.7,9823.9,7479.5,1951.8,19621.9,5314.3,1527,408.9,-
,2015-16,369.8,9871,5808.9,1990.2,18039.9,5692.5,1214,531.3,-
,2016-17,452.7,8985.3,6734.5,3181.2,19353.6,6240.2,1401.9,488.7,-
,2017-18,450.9,9368.5,6732.2,3405.4,19957,6111.3,1893,381.9,-
,2018-19,453.2,10082.9,6993.3,3759.4,21288.8,6899.1,2026,447.9,-
,2019-20,480.5,10916.1,7333.3,4497.1,23227.1,6769.2,2788,326.2,-
,2020-21,634,11035.4,8360.9,4252,24282.3,7984.6,3207.6,393.7,-
,2021-22,478.6,9484.1,7067.2,4019.4,21049.3,8385.9,2481,321.6,-
23. Sikkim,2002-03,21.2,8.9,59.9,6.6,96.6,7.1,-,-,-
,2003-04,21.2,8.1,63.8,6.8,99.9,7.4,-,-,-
,2004-05,21.6,8.3,67.4,6.6,103.9,7.6,-,-,-
,2005-06,21.5,9,63.7,6.1,100.3,7.2,-,-,-
,2006-07,21.5,9,63.7,6.1,100.3,7.2,-,-,-
,2007-08,22.9,4.5,72.6,11.6,111.6,7.5,-,-,-
,2008-09,21.7,7.8,66.2,11.8,107.5,7.4,-,-,-
,2009-10,24.3,5.9,74.2,12.9,117.3,9.4,-,-,-
,2010-11,21,2.7,74.8,11.9,110.3,7.9,-,-,-
,2011-12,20.9,2.7,73.8,5.9,103.2,7.8,-,-,-
,2012-13,21.3,0.6,78.3,5.8,106,7.1,-,-,-
,2013-14,20.3,0.4,75.9,5.8,102.4,7.1,-,-,-
,2014-15,20.1,0.4,75.9,5.8,102.2,7.1,-,-,-
,2015-16,13.1,0.4,75.3,5.4,94.1,6.3,-,-,-
,2016-17,19.7,0.4,75.9,5.5,101.3,6.4,-,-,-
,2017-18,17.6,0.2,71,5.1,93.9,5.8,-,-,-
,2018-19,17.2,0.2,69.8,4.8,92,5.6,-,-,-
,2019-20,16.1,0.2,70.7,5,92.1,5.6,-,-,-
,2020-21,16.2,0.1,70.5,5,91.8,5.7,-,-,-
,2021-22,-,-,-,-,-,-,-,-,-
24. Tamil Nadu,2002-03,3577.1,-,682.8,182.2,4442.1,760,83.5,24165.4,3.9
,2003-04,3222.8,-,983,200.8,4406.6,963.6,122.7,17656,3.5
,2004-05,5062.2,-,868,245.6,6175.8,1061.1,194.8,23396,1.1
,2005-06,5220,-,730.2,177,6127.2,1152.9,213.3,35106.5,-
,2006-07,6610.6,-,1361.9,290.5,8263,1083.5,220.9,41124,-
,2007-08,5040.2,-,1357.1,185,6582.3,1146.7,200.7,38071,-
,2008-09,5182.7,-,1755.1,164.5,7102.3,1043,187.7,32804.4,-
,2009-10,5665.2,-,1642,204.1,7511.4,939.6,225,29745.6,-
,2010-11,5792.4,-,1556.5,246,7594.9,933.1,450,34251.8,-
,2011-12,7458.7,-,2323.8,369.3,10151.8,1113.7,450,38575.7,-
,2012-13,4049.9,-,1333,209.9,5592.8,816.9,500,33919.2,-
,2013-14,5349.8,-,2819.7,613.8,8783.2,964.2,408,32454.1,-
,2014-15,5727.8,-,3142.6,753.2,9623.7,985.3,686,28092.8,-
,2015-16,7517.1,-,3406.6,554.8,11478.5,932.2,369,25494.1,-
,2016-17,2369.4,-,1345.2,427.1,4141.6,604.1,359,18987.6,-
,2017-18,6638.9,-,3518.4,556.3,10713.6,1038,445,17154,-
,2018-19,6130.9,-,3708,551.2,10390.1,940.9,269,17140.2,-
,2019-20,7171.1,-,3493.2,605.4,11269.8,1075,418,14119.1,-
,2020-21,6881.2,-,3470,472.5,10823.6,1062.9,243.2,13284.6,-
,2021-22,8067.3,-,3506,473,12046.3,981.5,359.6,15457.7,-
25. Telangana,2015-16,3047,8.5,1834,239.6,5129,496,3661,2405,-
,2016-17,5173.4,7,2768.2,536,8484.6,723,3444,2061,-
,2017-18,6262.2,5.6,2639.3,514,9421.1,669.8,5195,2604.5,-
,2018-19,6670,9.4,2155.7,440.1,9275.2,589.2,3847,3183.6,-
,2019-20,7427.8,9.2,3138.9,549.2,11125,639.2,6833,2012.9,-
,2020-21,10217.1,15.8,1922.9,589.7,12745.6,574,5797.9,1751,-
,2021-22,12302.2,10.9,2241.8,540.5,15095.4,697.4,6067,2851,-
26. Tripura,2002-03,602.3,1.8,2.2,5.5,611.8,3.5,1.6,56.2,23.3
,2003-04,516.6,5.1,2.2,5.2,529.1,3.8,1.7,47.5,22.1
,2004-05,545.1,2.8,3,5.5,556.4,3.9,1.5,52.4,22.5
,2005-06,552.9,2.9,2.2,5.6,563.6,3.9,1.6,52.6,23.3
,2006-07,620.5,1.8,2.4,5.3,630,3.1,1.6,42.4,11.8
,2007-08,624.6,1.9,2.1,4.7,633.3,2.7,1.5,46.7,10.5
,2008-09,627.1,1.2,2,4.4,634.7,2.5,1.4,51.7,8.7
,2009-10,640,1.3,2,4.5,647.9,2.5,1.4,44.9,9.4
,2010-11,702.5,0.6,4.1,5.2,712.4,3.4,-,46.5,10.7
,2011-12,718.3,0.5,5.1,6,729.9,3.5,-,45,10.7
,2012-13,713.2,1.3,4.7,6,725.2,2.4,-,45.4,10.3
,2013-14,711.8,0.3,5.9,8.7,726.7,4.6,-,49.6,12.4
,2014-15,747,0.3,5.9,8.4,761.6,7.1,-,-,10.6
,2015-16,794.9,0.4,12.2,10.9,818.3,9,-,-,11.2
,2016-17,814.6,0.5,21.3,23.2,859.6,12.5,-,-,10.3
,2017-18,812.1,0.4,23.6,19.3,855.3,13.8,-,42.5,10
,2018-19,793.2,0.3,23.9,18.9,836.3,14,-,35.9,10
,2019-20,810.2,0.3,24.1,18.7,853.3,14.4,-,36.4,5.3
,2020-21,803.1,0.1,44.2,20.3,867.6,13.2,0.9,48.6,6.2
,2021-22,-,-,-,-,-,-,-,-,-
27. Uttar Pradesh,2002-03,9594.9,23612.4,2732.3,2202,38141.6,881.4,4.4,120948,-
,2003-04,13018.8,25566.7,3260.7,2400.3,44246.5,927.8,4.2,112754,-
,2004-05,9555.6,22513.9,3391.8,2375,37836.3,952.3,5.1,118715.6,-
,2005-06,11133.7,24073.8,2971.2,2231.5,40410.2,1066.5,5.2,125469.9,-
,2006-07,11124,25031,3084.4,1975.1,41214.5,1033.3,7,133949.4,-
,2007-08,11780,25679,3058.9,1576.9,42094.8,1146.8,6.8,124665.3,-
,2008-09,13097,28554,3080.2,1998.1,46729.3,1164.5,0.8,109048,-
,2009-10,10807.1,27518,2968.8,1901.4,43195.3,816,5,117140,-
,2010-11,11992,30001,3217.6,2037,47247.6,919.5,-,120545,-
,2011-12,14022,30292.6,3566,2403,50283.6,935,-,128819,-
,2012-13,14416,30301.9,3695.5,2332,50745.4,1030.5,-,132427.7,-
,2013-14,14636,29890.9,3803.2,1697.4,50027.5,895.8,-,134688.6,-
,2014-15,12167.9,22417.4,3570,1438.7,39594,787.2,-,133061.4,-
,2015-16,12501,25425.2,3460,1164.6,42550.8,864.5,-,145385,-
,2016-17,13754,30056,3909,2184.4,49903.1,1050.2,-,140169.2,-
,2017-18,13274,31879.1,4016.8,2200,51369.9,1145.7,-,177033.3,-
,2018-19,15545.3,32741.3,3948.8,2408,54643.4,1330.8,-,179714.8,-
,2019-20,15517.8,33815.5,4388.5,2447.3,56169.1,1146.2,-,179539.1,-
,2020-21,15520,35506.6,4604.4,2475.9,58106.9,1276.2,6.5,178339.3,-
,2021-22,15273.4,33949.7,4327.1,2562.9,56113,1239,8.6,177425.5,-
28. Uttarakhand,2002-03,483,750,297,29.1,1559.1,23,-,7331.7,-
,2003-04,569,745,381,29,1724,34,-,7651,-
,2004-05,572,803,358,28,1761,38,-,6441,-
,2005-06,590,645,323,36,1594,30,-,6134,-
,2006-07,556,801,344,34,1735,21,-,6100,-
,2007-08,593,814,339,50,1796,29,-,7686,-
,2008-09,582,797,347,39,1765,26,-,5590,-
,2009-10,608,845,297,46,1796,33,-,5842,-
,2010-11,550.4,878,335,52.1,1815.5,27.5,-,6497.6,-
,2011-12,594,878,331,49,1852,32.5,-,6311,-
,2012-13,579.8,858.2,338.4,51.3,1827.7,39.7,-,6784.8,-
,2013-14,578.6,842.4,298.9,56.5,1776.5,34.1,-,5939.8,-
,2014-15,603.7,654.2,313.6,54.6,1626,29.6,-,6165.1,-
,2015-16,639.1,772.4,282.8,51.6,1745.9,35.6,-,5885.8,-
,2016-17,630,882,308,53,1873,26,-,6477,-
,2017-18,646.7,915.4,286.9,54.2,1903.2,26.6,-,6271.4,-
,2018-19,617.6,951.6,251.7,55.3,1876.1,27.2,-,6329.3,-
,2019-20,658.4,904.1,265.8,57.8,1886,25.1,-,6937.7,-
,2020-21,714.9,955.3,270.3,61.3,2001.8,26.2,-,3680,-
,2021-22,710.7,863.6,278,63.1,1915.4,28.9,-,3520,-
29. West Bengal,2002-03,14389.2,887.4,77.9,167.6,15522.1,476.1,1.5,1281.3,8578.1
,2003-04,14662.3,985.7,150,211.7,16009.7,650.7,2.8,1252.6,8465.5
,2004-05,14884.8,841.5,162,167.1,16055.4,652.9,3,1033.2,7934.8
,2005-06,14510.8,773.5,150.3,174.3,15608.9,610.4,6,1247.7,8114.5
,2006-07,14745.9,799.9,274.7,154,15974.5,645.4,14.7,1266.7,8506
,2007-08,14719.5,917.3,265.8,147.6,16050.2,705.1,13.2,1272,8293.5
,2008-09,15037.3,764.5,365.4,128.5,16295.7,582.6,6,1638.3,7965.5
,2009-10,14340.7,846.7,404,150.1,15741.5,727.1,3.3,1000.8,9400.1
,2010-11,13045.9,874.4,370.4,176.1,14466.9,703.6,-,1134.1,8214.2
,2011-12,14605.8,872.9,376.4,130.6,15985.7,672.4,-,1681.4,8623
,2012-13,15023.7,895.9,434.6,192.3,16546.5,850.7,-,1617,8310.8
,2013-14,15370.7,927.8,538.6,241.7,17078.9,909.9,-,1945,8882.4
,2014-15,14677.2,939.3,678.9,236.5,16531.8,901.4,-,2105.5,8453.7
,2015-16,15953.9,960,732.7,334,17980.6,926.9,-,2075,7776.8
,2016-17,15302.5,862.7,721.6,259.7,17146.4,908.7,-,1549.8,8349.6
,2017-18,14967,312,1154.7,443.8,16877.5,1134.1,-,1437,7637.9
,2018-19,16242.2,337.8,1741.5,368.4,18689.9,1163.6,-,1335.4,7770.2
,2019-20,15881.4,509.9,2018.1,384.9,18794.3,1015.7,-,1527.6,8067.4
,2020-21,16524.4,594.7,2443.6,441.9,20004.6,1112.3,0.9,1418.3,7592.8
,2021-22,16762.7,661.5,2651,427.1,20502.3,1192.9,0.8,1518.5,8356.4
All States,2002-03,71684.9,65679.7,26054.7,11116.4,174535.7,14832.5,8622.1,287159.9,11275.4
,2003-04,88390.8,72052.9,37589,14896.9,212929.6,25181.8,13727.3,233711.2,11172.9
,2004-05,82995.1,68564.8,33444.7,13121,198125.6,24345.1,16425.7,236955.4,10272.3
,2005-06,91651.4,69274,34051.8,13375.6,208352.8,27971.7,18498.7,281008.6,10839.6
,2006-07,93206.2,75727.9,33904.8,14188.5,217027.4,24285.8,22631.5,355359.8,11273
,2007-08,96559,78492.9,40734.4,14752.4,230538.7,29750.9,25883.9,347956,11210.5
,2008-09,99051,80603.9,40018.9,14557.4,234231.2,27716.5,22276.2,284864,10365.3
,2009-10,88969.9,80709.9,33542.8,14652.9,217875.4,24875.5,24021.8,292052.3,11817.4
,2010-11,95850.3,86757.4,43381.5,18230.5,244225,32476.7,32850,342101.6,10620.2
,2011-12,105193.4,94791.6,42005,17082.2,259077.6,29793.1,34360,360693.1,11398.6
,2012-13,105113.1,93440.9,40037,18308.3,256899.2,30930.2,34110,340842.2,10930.1
,2013-14,106520.8,95764.9,43284.6,19190.3,264817.2,32748.2,35809,351777.4,11690.2
,2014-15,105335,86440.8,42850.9,17145,251796.8,27509.6,34715,361959,11126.1
,2015-16,104294.9,92201.6,38512,16318,251326.5,25245.1,29875,348232.1,10523.6
,2016-17,109582.7,98422.7,43763.2,23124.1,274892.7,31270.2,32477.4,306054.5,10962.4
,2017-18,112647.6,99655.1,46613.9,24862.4,278848.1,31330.9,32683,369315,10032.9
,2018-19,116354.1,103512.9,43050.2,22070.8,284987.9,31516.2,27924,405198.5,9819.7
,2019-20,118733.5,107775.1,47739.3,23021.5,297269.3,33213.8,36048,370296.9,9876.8
,2020-21,124249,109493.2,51309.1,25461.3,310512.8,35940.8,35247.5,405211.7,9354.4
,2021-22,126846.3,106184.8,49762.6,27527.3,310320.8,37430,31191.6,439607.9,10253.3
Union Territories,2002-03,169.8,81.1,10.7,8.6,235.7,5.9,1.6,223.3,-
,2003-04,181.2,103.3,12.8,8.3,259.8,4.5,1.7,150.6,-
,2004-05,182,72.1,19.9,8.5,237.2,8.4,2.9,133,-
,2005-06,178.4,80.5,17.4,8.8,248.8,6.2,0.3,163.2,-
,2006-07,183.1,78.8,17.6,9,254.7,3.6,0.3,159.9,-
,2007-08,164.4,77.3,15.1,9.1,236.3,4.4,0.2,231.9,-
,2008-09,157.5,75.5,18.4,9,235,2.5,-,165.3,-
,2009-10,152.3,93.7,5.9,8.9,232,6.2,-,249.3,-
,2010-11,158.8,111.3,15.2,10.4,266.8,2.3,-,280,-
,2011-12,143.9,85.1,36,6.7,245.6,5.6,-,343.4,-
,2012-13,153.5,65.6,7.2,7.1,198.4,9.5,-,357.5,-
,2013-14,161.6,84.9,10.3,6.1,201,1.2,-,364.4,-
,2014-15,147.1,85.9,11.1,7.3,226.1,1.2,90,373.7,-
,2015-16,113.4,85.9,10.3,5.5,215.1,5.6,130,216.3,-
,2016-17,115.7,87.5,8.9,6.8,219,5.4,100,14.5,-
,2017-18,110.1,83.8,9,3.9,206.7,5.5,122,195.8,-
,2018-19,123.8,83.3,9.2,5.1,221.4,5.6,118,217.7,-
,2019-20,136.8,85.4,9.1,3.8,235.1,5.5,17,203.4,-
,2020-21,119.3,93.3,14.7,1.8,229,5.4,0.8,187,-
,2021-22,-,-,-,-,-,-,-,-,-
All India,2002-03,71820.2,65760.8,26065.4,11125,174771.4,14838.4,8623.7,287383.2,11275.4
,2003-04,88526,72156.2,37602,14905.2,213189.4,25186.3,13729,233861.8,11172.9
,2004-05,83131.7,68636.9,33464.7,13129.5,198362.8,24353.5,16428.6,237088.4,10272.3
,2005-06,91793.4,69354.5,34069.3,13384.4,208601.6,27977.9,18499,281171.8,10839.6
,2006-07,93355.3,75806.7,33922.6,14197.5,217282.1,24289.4,22631.8,355519.7,11273
,2007-08,96692.9,78570.2,40750.4,14761.5,230775,29755.3,25884.1,348187.9,11210.5
,2008-09,99182.5,80679.4,40037.9,14566.4,234466.2,27719,22276.2,285029.3,10365.3
,2009-10,89092.9,80803.6,33549.1,14661.8,218107.4,24881.6,24021.8,292301.6,11817.4
,2010-11,95979.8,86868.7,43397.1,18240.9,244491.8,32479,33000,342381.6,10620.2
,2011-12,105310.9,94876.7,42041.3,17088.9,259323.2,29798.7,35200,360983.4,11398.6
,2012-13,105231.6,93506.5,40044.2,18342.5,257124.7,30939.7,34220,341199.7,10930.1
,2013-14,106645.5,95849.8,43294.9,19252.9,265043.2,32749.4,35902,352141.8,11690.2
,2014-15,104798.5,88938.4,42860,17191.3,252676.5,26674.8,34805,359330.1,11449.2
,2015-16,104408.2,92287.5,38522.3,16348.2,251540,25250.8,30005,348448.4,10523.6
,2016-17,109698.4,98510.2,43772.1,23131.1,275111.9,31275.6,32577.4,306069,10962.4
,2017-18,112757.6,99869.5,46970.2,25416.2,285013.5,31459.3,32805,379904.9,10032.9
,2018-19,116477.8,103596.2,43059.4,22075.9,285209.3,31521.8,28042,405416.2,9819.7
,2019-20,118870.3,107860.5,47748.4,23025.2,297504.5,33219.2,36065,370500.3,9876.8
,2020-21,124368.3,109586.5,51323.8,25463.1,310741.7,35946.2,35248.3,405398.7,9354.4
,2021-22,130290.6,106844.9,50895.2,27692.1,315722.7,37696,31203,431811.9,10316.7
